id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
tokenize-xchange,11.05,874792407,51.39875,50.43,0.111255,17-07-2025 20-16-35
hedera-hashgraph,0.29102,12390127079,23.77069,0.569229,0.00986111,17-07-2025 20-16-35
ripple,3.64,215591271080,18.88966,3.64,0.00268621,17-07-2025 20-16-35
flare-networks,0.02173139,1511714051,18.61831,0.150073,0.00827405,17-07-2025 20-16-35
algorand,0.329561,2865328693,16.0004,3.56,0.087513,17-07-2025 20-16-35
lido-dao,1.082,965799254,15.45972,7.3,0.40615,17-07-2025 20-16-35
reserve-rights-token,0.00989677,581549332,13.25149,0.117424,0.00121354,17-07-2025 20-16-35
crypto-com-chain,0.121191,3916593788,12.74606,0.965407,0.0121196,17-07-2025 20-16-35
stellar,0.511708,15916632422,12.73868,0.875563,0.00047612,17-07-2025 20-16-35
cardano,0.857799,31053550604,12.09678,3.09,0.01925275,17-07-2025 20-16-35
