id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
bitcoin,120194.0,2389894662613,0.9669,122838.0,67.81,17-07-2025 20-16-35
ethereum,3555.53,428587885141,4.90762,4878.26,0.432979,17-07-2025 20-16-35
ripple,3.64,215591271080,18.88966,3.64,0.00268621,17-07-2025 20-16-35
tether,1.001,160366205928,0.02874,1.32,0.572521,17-07-2025 20-16-35
binancecoin,730.91,106456130021,1.84616,788.84,0.0398177,17-07-2025 20-16-35
solana,180.0,96812546831,4.04905,293.31,0.500801,17-07-2025 20-16-35
usd-coin,0.999873,64820305077,0.00132,1.17,0.877647,17-07-2025 20-16-35
dogecoin,0.225424,33806158418,4.0749,0.731578,8.69e-05,17-07-2025 20-16-35
staked-ether,3551.86,32222125675,4.84546,4829.57,482.9,17-07-2025 20-16-35
cardano,0.857799,31053550604,12.09678,3.09,0.01925275,17-07-2025 20-16-35
tron,0.318124,30142829807,2.44086,0.431288,0.00180434,17-07-2025 20-16-35
stellar,0.511708,15916632422,12.73868,0.875563,0.00047612,17-07-2025 20-16-35
wrapped-bitcoin,119830.0,15436713644,0.92334,122745.0,3139.17,17-07-2025 20-16-35
hyperliquid,45.82,15260573192,-1.94292,49.75,3.81,17-07-2025 20-16-35
wrapped-steth,4272.92,14768918400,4.49953,7256.02,558.54,17-07-2025 20-16-35
sui,3.98,13713663979,-0.05438,5.35,0.364846,17-07-2025 20-16-35
chainlink,18.43,12496025747,10.32376,52.7,0.148183,17-07-2025 20-16-35
hedera-hashgraph,0.29102,12390127079,23.77069,0.569229,0.00986111,17-07-2025 20-16-35
avalanche-2,24.29,10257702273,7.06614,144.96,2.8,17-07-2025 20-16-35
bitcoin-cash,511.14,10157564600,2.28596,3785.82,76.93,17-07-2025 20-16-35
wrapped-eeth,3813.34,9580057362,5.05198,4311.81,1505.24,17-07-2025 20-16-35
shiba-inu,1.476e-05,8690446007,0.75868,8.616e-05,5.6366e-11,17-07-2025 20-16-35
leo-token,8.95,8259581873,1.08488,10.14,0.799859,17-07-2025 20-16-35
weth,3551.77,8146727641,4.74045,4799.89,82.1,17-07-2025 20-16-35
the-open-network,3.25,7991238581,1.83609,8.25,0.519364,17-07-2025 20-16-35
litecoin,103.42,7867622396,5.50799,410.26,1.15,17-07-2025 20-16-35
binance-bridged-usdt-bnb-smart-chain,1.003,6795046580,0.26971,1.05,0.942186,17-07-2025 20-16-35
usds,0.999799,6788827796,-0.00808,1.057,0.948265,17-07-2025 20-16-35
polkadot,4.37,6645522225,4.465,54.98,2.7,17-07-2025 20-16-35
whitebit,45.71,6588263928,1.01583,52.27,3.06,17-07-2025 20-16-35
monero,340.26,6278090447,1.96502,542.33,0.216177,17-07-2025 20-16-35
coinbase-wrapped-btc,120011.0,5967499870,0.78674,123036.0,57439.0,17-07-2025 20-16-35
uniswap,9.81,5883280395,8.55134,44.92,1.03,17-07-2025 20-16-35
pepe,1.371e-05,5764479891,-0.09921,2.803e-05,5.5142e-08,17-07-2025 20-16-35
ethena-usde,1.002,5611691079,0.07761,1.032,0.929486,17-07-2025 20-16-35
bitget-token,4.81,5488357564,0.46957,8.45,0.0142795,17-07-2025 20-16-35
aave,326.74,4964938169,0.68789,661.69,26.02,17-07-2025 20-16-35
